Date,Last,Open,Max,Min,Volume, variation (%)
29.07.2022,8156.2,8140.3,8207.8,8134.1,249.07,0.88
01.08.2022,8085.1,8161.9,8230.7,8071.8,162.09,-0.87
02.08.2022,8096.9,8060.6,8122.5,8049.8,154.64,0.15
03.08.2022,8142.1,8092.6,8161.3,8066.3,146.69,0.56
04.08.2022,8161.1,8148,8214.4,8133.9,135.7,0.23
05.08.2022,8168,8151.2,8198,8120.5,144.26,0.08
08.08.2022,8272.5,8220.9,8294.4,8193.3,118.57,1.28
09.08.2022,8311.9,8260,8339.6,8245.6,115.02,0.48
10.08.2022,8352.8,8299.6,8367.2,8295.9,131.02,0.49
11.08.2022,8380,8386,8420.4,8368.9,104.91,0.33
12.08.2022,8400.4,8383.5,8453,8371.4,118.97,0.24
15.08.2022,8427,8423.9,8429.3,8384.4,82.28,0.32
16.08.2022,8511.9,8448.7,8527.3,8440.4,118.72,1.01
17.08.2022,8434.8,8520.2,8540,8426.5,113.54,-0.91
18.08.2022,8430.3,8440.7,8470.1,8392.6,88.54,-0.05
19.08.2022,8338.1,8395,8408.7,8320.9,145.36,-1.09
22.08.2022,8284.8,8291.6,8300.9,8213.6,125.08,-0.64
23.08.2022,8226.3,8254.9,8272.6,8205.5,102.24,-0.71
24.08.2022,8199.4,8196.9,8224.7,8161.8,82.59,-0.33
25.08.2022,8187.5,8230,8263,8166.3,88.85,-0.15
26.08.2022,8063.9,8229.7,8239.6,8044.1,120.27,-1.51
29.08.2022,7989.6,7970.9,8005,7933.4,103.31,-0.92
30.08.2022,7979.8,8004.5,8105.2,7968.6,158.86,-0.12
31.08.2022,7886.1,7994.8,7996.4,7866.6,228.02,-1.17
01.09.2022,7806,7838.8,7849.4,7797,132.47,-1.02
02.09.2022,7932.2,7843.8,7943.4,7796.7,121.21,1.62
05.09.2022,7862.7,7801.3,7867.8,7765.5,119.38,-0.88
06.09.2022,7842.2,7868,7935.9,7813.6,125.3,-0.26
07.09.2022,7855.9,7791.1,7880.2,7784.4,147.01,0.17
08.09.2022,7916.8,7902.3,7933.3,7772.7,206.75,0.78
09.09.2022,8033.1,7920.5,8063.8,7918.6,189.94,1.47
12.09.2022,8194.3,8087.8,8212.6,8077.4,173.42,2.01
13.09.2022,8064,8229,8235.8,8054.7,192.03,-1.59
14.09.2022,8055.6,8070.3,8124.5,8024,160.07,-0.1
15.09.2022,8085.5,8051.9,8125.4,8024.2,229.94,0.37
16.09.2022,7984.7,7994.4,8039.2,7962.2,329.45,-1.25
19.09.2022,7993.2,7957.8,8023.4,7911,110.51,0.11
20.09.2022,7873.1,8020.8,8064.1,7873.1,157.29,-1.5
21.09.2022,7872.2,7803.4,7896.7,7790.5,157.19,-0.01
22.09.2022,7774.7,7776.3,7897.1,7753.6,182.96,-1.24
23.09.2022,7583.5,7770.8,7770.8,7527.5,215.67,-2.46
26.09.2022,7508.5,7534.2,7589.2,7473.5,190.14,-0.99
27.09.2022,7445.7,7564.3,7587.6,7436.1,199.71,-0.84
28.09.2022,7442.2,7380.7,7448.4,7273,217.52,-0.05
29.09.2022,7300.1,7407.4,7416.9,7242.2,185.71,-1.91
30.09.2022,7366.8,7345.6,7395.1,7318.5,186.03,0.91
03.10.2022,7462,7327.5,7472.9,7288.5,155.77,1.29
04.10.2022,7696.6,7548.5,7699.9,7529.2,199.97,3.14
05.10.2022,7579.9,7655.6,7678.4,7537.9,130.26,-1.52
06.10.2022,7511.1,7597.3,7638.8,7482.1,118.07,-0.91
07.10.2022,7436.9,7463.9,7517.5,7412.5,133,-0.99
10.10.2022,7413.5,7389.5,7441.4,7372.9,114.4,-0.31
11.10.2022,7355.9,7369.3,7410.3,7315.5,130.87,-0.78
12.10.2022,7261.1,7356.3,7359.7,7239,135.44,-1.29
13.10.2022,7348.8,7234.1,7385.3,7189.6,195.47,1.21
14.10.2022,7382.5,7467.9,7503.4,7371.6,187.97,0.46
17.10.2022,7557.1,7416.1,7589.1,7413.4,166.45,2.37
18.10.2022,7611.3,7613,7692.3,7594.6,149.75,0.72
19.10.2022,7583.6,7630.4,7642.6,7530.5,131.87,-0.36
20.10.2022,7644.4,7584.7,7660.7,7552.1,178.42,0.8
21.10.2022,7545.6,7586.4,7592.6,7449.6,245.06,-1.29
24.10.2022,7680.5,7612.2,7739.6,7570,169.75,1.79
25.10.2022,7794.9,7716.5,7803.6,7675.2,149.34,1.49
